date,target
2024-07-30,66219.05102486102
2024-07-31,64679.77864703252
2024-08-01,65357.52960767435
2024-08-02,61407.29547397454
2024-08-03,60738.7449250574
2024-08-04,58006.206586686734
2024-08-05,53956.26184159744
2024-08-06,55959.84107399357
2024-08-07,55099.95181146735
2024-08-08,61859.03159904161
2024-08-09,60912.588533350805
2024-08-10,60887.70861641504
2024-08-11,58804.23449992608
2024-08-12,59350.07433270696
2024-08-13,60601.22317789727
2024-08-14,58739.19382231015
2024-08-15,57624.11692852191
2024-08-16,58881.92579151217
2024-08-17,59430.79163445865
2024-08-18,58438.29374268541
2024-08-19,59574.94581294088
2024-08-20,59060.12610074137
2024-08-21,61144.68762866613
2024-08-22,60387.54062321362
2024-08-23,64049.68561555576
2024-08-24,64157.1606134782
2024-08-25,64265.81631272862
2024-08-26,62922.58634676265
2024-08-27,59526.560879590994
2024-08-28,59015.29633887944
2024-08-29,59351.5794909728
2024-08-30,59156.24603646356
2024-08-31,58960.23658664587
2024-09-01,57357.71617282246
2024-09-02,59108.73235863689
2024-09-03,57504.53858622044
2024-09-04,57987.84601410068
2024-09-05,56132.4047320886
2024-09-06,53923.35611071905
2024-09-07,54150.9383589072
2024-09-08,54792.40755768575
2024-09-09,57049.11875114327
2024-09-10,57624.16178336144
2024-09-11,57381.76444500048
2024-09-12,58106.95122981528
2024-09-13,60620.62747295754
2024-09-14,60003.29940083042
2024-09-15,59214.80226801806
2024-09-16,58211.123231286256
2024-09-17,60317.0319794625
2024-09-18,61440.41208494509
2024-09-19,62966.52931910512
2024-09-20,63128.224540748255
2024-09-21,63403.40234925936
2024-09-22,63582.59956924825
2024-09-23,63327.02654450202
2024-09-24,64334.14274876097
2024-09-25,63151.89959401337
2024-09-26,65130.76884023231
2024-09-27,65791.00212541742
2024-09-28,65934.10709441357
2024-09-29,65663.68986662335
2024-09-30,63243.27532464382
2024-10-01,60872.66854372554
2024-10-02,60655.55979196848
2024-10-03,60727.86395169296
2024-10-04,62103.01047283253
2024-10-05,62091.932585194016
2024-10-06,62811.79972811266
2024-10-07,62287.39010510681
2024-10-08,62185.230423727575
2024-10-09,60597.15045618275
2024-10-10,60195.18073772453
2024-10-11,62392.34048293159
2024-10-12,63207.77062127557
2024-10-13,62829.533686088886
2024-10-14,66049.99492708022
2024-10-15,66962.21994496793
2024-10-16,67647.54414766871
2024-10-17,67328.10527002988
2024-10-18,68465.61920668735
2024-10-19,68388.87128965274
2024-10-20,68962.82918045693
2024-10-21,67394.85775735618
2024-10-22,67351.04793512498
2024-10-23,66683.96806542306
2024-10-24,68214.05205157402
2024-10-25,66585.66535501445
2024-10-26,67018.1650170265
2024-10-27,67938.55412885673
2024-10-28,69845.304531169
2024-10-29,72781.11308158132
2024-10-30,72342.62171127986
2024-10-31,70264.99735573279
2024-11-01,69507.92256395647
2024-11-02,69299.16036699413
2024-11-03,68803.50626277467
2024-11-04,67793.29782704762
2024-11-05,69335.42553133758
2024-11-06,75620.88606963192
2024-11-07,75987.24178320667
2024-11-08,76550.0213845611
2024-11-09,76630.22631415377
2024-11-10,80466.71654833542
2024-11-11,88637.42000322911
2024-11-12,88264.59974582895
2024-11-13,90488.10007497849
2024-11-14,87407.51273710128
2024-11-15,90947.97509443705
2024-11-16,90606.45489380708
2024-11-17,89841.47194135105
2024-11-18,90534.62459650292
2024-11-19,92251.65240738312
2024-11-20,94217.02229634204
2024-11-21,98509.11859102432
2024-11-22,98927.494945534
2024-11-23,97679.46381643032
2024-11-24,98015.9355289458
2024-11-25,93004.70093103289
2024-11-26,91931.83077291829
2024-11-27,95981.18057210564
2024-11-28,95661.59595817851
2024-11-29,97453.2473451042
2024-11-30,96513.14234698223
2024-12-01,97311.70719084324
2024-12-02,95833.1362300365
2024-12-03,96031.63097759832
2024-12-04,98881.4694561823
2024-12-05,97201.5003640774
2024-12-06,99973.85150659826
2024-12-07,99781.82999198174
2024-12-08,101235.3717025316
2024-12-09,97353.94700820888
2024-12-10,96649.71446771533
2024-12-11,101123.61811033696
2024-12-12,100000.80836535196
2024-12-13,101352.22971292294
2024-12-14,101367.01064553364
2024-12-15,104721.50151808978
2024-12-16,106074.10723541168
2024-12-17,106034.913402645
2024-12-18,100355.5761481501
2024-12-19,97851.35377075804
2024-12-20,97691.43431692652
2024-12-21,97202.82496847631
2024-12-22,95094.27394862172
2024-12-23,94644.9108546432
2024-12-24,98695.714007826
2024-12-25,99344.95417367227
2024-12-26,95678.31244565404
2024-12-27,94331.94727053076
2024-12-28,95184.61945288602
2024-12-29,93663.44751964069
2024-12-30,92627.28213113276
2024-12-31,93507.85874741492
2025-01-01,94384.1761153871
2025-01-02,96852.14681235077
2025-01-03,98084.34279280754
2025-01-04,98256.73876849932
2025-01-05,98364.58946599838
2025-01-06,102229.39453189744
2025-01-07,96952.09886774956
2025-01-08,95016.71440989176
2025-01-09,92376.275783461
2025-01-10,94736.6267420969
2025-01-11,94559.55167224212
2025-01-12,94454.77089638809
2025-01-13,94456.3493746993
2025-01-14,96574.07768799194
2025-01-15,100313.15239828422
2025-01-16,100044.57926776377
2025-01-17,104160.69358484232
2025-01-18,104334.61575724394
2025-01-19,101275.33714814208
2025-01-20,101764.90860170544
2025-01-21,106182.2368201815
2025-01-22,103673.53509537788
2025-01-23,104067.60991206949
2025-01-24,104835.19253555956
2025-01-25,104796.04077738234
2025-01-26,102552.24874280208
2025-01-27,101958.46953745594
2025-01-28,101313.11264498268
2025-01-29,103718.97939813643
2025-01-30,104781.5135100103
2025-01-31,102382.39409722164
