date,target
2025-02-28,84441.9012237131
2025-03-01,86005.25629681018
2025-03-02,94261.5328653844
2025-03-03,86124.71418722175
2025-03-04,87310.80531078295
2025-03-05,90604.08098523636
2025-03-06,90001.40087607042
2025-03-07,86773.33597555371
2025-03-08,86142.9833586432
2025-03-09,80751.13893300897
2025-03-10,78783.94057934263
2025-03-11,82799.1080292053
2025-03-12,83884.24578828987
2025-03-13,81098.90052436228
2025-03-14,83971.70916064628
2025-03-15,84391.69087647168
2025-03-16,82610.61750343916
2025-03-17,84075.36559694471
2025-03-18,82780.03048688271
2025-03-19,86815.44109470697
2025-03-20,84270.84358966233
2025-03-21,84009.532917822
2025-03-22,83793.30854192551
2025-03-23,85787.70914901773
2025-03-24,87327.72969669085
2025-03-25,87520.58391530563
2025-03-26,86960.8555491039
2025-03-27,87227.27158032371
2025-03-28,84359.46915506005
2025-03-29,82679.17255385047
2025-03-30,82356.38111183756
2025-03-31,82514.09365397849
2025-04-01,85237.5876052852
2025-04-02,82526.4221526433
2025-04-03,83163.98757387721
2025-04-04,83852.00765399594
2025-04-05,83595.88550177493
2025-04-06,78211.48358199988
2025-04-07,79179.29226757778
2025-04-08,76329.090356324
2025-04-09,82622.17029546302
2025-04-10,79596.35732250768
2025-04-11,83439.28818043756
2025-04-12,85305.09728392666
2025-04-13,83600.82010054543
2025-04-14,84523.4524914945
2025-04-15,83656.49248858042
2025-04-16,84105.77942167096
2025-04-17,84930.90857600998
2025-04-18,84433.75017215389
2025-04-19,85126.66244301842
2025-04-20,85073.16544858096
2025-04-21,87452.04699068287
2025-04-22,93576.1658857398
2025-04-23,93605.45230873208
