date,price,high,low,lag_1,lag_2,lag_3,lag_5,lag_7,ma_7,ma_30,momentum_30,momentum_7,volume,volatility_7,volatility_30,daily_return,pct_change_1d,pct_change_7d,hl_pct
2024-07-30,-0.908994080252023,-0.908994080252023,-0.908994080252023,-0.8108728179600542,-0.8172445615250907,-0.8207454174709776,-0.9657972718936746,-0.8181975653819581,-0.8946655124491446,-1.111460436683452,0.32380401742505804,-0.2576043936230969,-0.13717115809730485,-0.5839504692306361,-0.392865386783044,-0.8281162028654595,-0.8281162028654595,-0.3161459174611743,0.0
2024-07-31,-0.9434891087925135,-0.9434891087925135,-0.9434891087925135,-0.9029651818203626,-0.8055660993220404,-0.8123098854403692,-0.9442383716247563,-0.9215555281483963,-0.892175140805919,-1.104113252660365,0.09927154438216051,-0.04408269937691463,-0.5893004863471035,-0.8014406969007368,-0.4734135464726309,-0.35156306366592927,-0.35156306366592927,-0.06943585943931423,0.0
2024-08-01,-1.0398071650098666,-1.0398071650098666,-1.0398071650098666,-0.9374558623990641,-0.8975695530603558,-0.800644837571493,-0.8091744515448529,-0.9550017037985585,-0.898690701046468,-1.1001916497434572,-0.051395476471461504,-0.23582415704171594,-0.5060371301688605,-0.6078786636722401,-0.39790506539799614,-0.8881114679073919,-0.8881114679073919,-0.2965051633300621,0.0
2024-08-02,-0.9973977408762662,-0.9973977408762662,-0.9973977408762662,-1.033761778106734,-0.9320269347802884,-0.8925426125781264,-0.8007661821558003,-0.9335003344735384,-0.9022235570620845,-1.0932022520971065,0.08353505885928525,-0.17232067253260092,-0.2571188614991179,-0.5716374745787639,-0.4122040694311118,0.3190718739570566,0.3190718739570566,-0.22066061666248443,0.0
2024-08-03,-1.2445787329097613,-1.2445787329097613,-1.2445787329097613,-0.9913576995131558,-1.0282398724129553,-0.9269604152143477,-0.7891388343416006,-0.7987968388453393,-0.9608563312397521,-1.09075095093168,-0.11606362408938113,-1.345429548099192,-0.2540347725642287,-0.1606979424686016,-0.07412189750383805,-2.2195617250774733,-2.2195617250774733,-1.5586256374727805,0.0
2024-08-04,-1.2864124527128706,-1.2864124527128706,-1.2864124527128706,-1.238507535361143,-0.9858767326295315,-1.023062838939033,-0.8807396066113956,-0.7904110073203923,-1.0267240128020845,-1.083266900567435,0.10529132416208951,-1.4994648779138369,-0.4569053360785653,-0.24734093608100854,-0.3732877114410126,-0.4457409108159829,-0.4457409108159829,-1.7314979243436268,0.0
2024-08-05,-1.4573976435616487,-1.4573976435616487,-1.4573976435616487,-1.2803359821894822,-1.232787958878039,-0.9807483590993448,-0.915046174981301,-0.7788146876331582,-1.1188731574102926,-1.0805968931701473,-0.10644428787308954,-2.0590123072097657,-0.43107871121104496,-0.19103438856068256,-0.13011381594193913,-1.6664380120173707,-1.6664380120173707,-2.363634882899231,0.0
2024-08-06,-1.7108179031943112,-1.7108179031943112,-1.7108179031943112,-1.4512996210318485,-1.2745760226370946,-1.2273759735466894,-1.010838007041923,-0.8701710189145566,-1.2342307062270979,-1.0896088264007646,-0.6202500153219085,-2.55313255045168,2.4395656920984865,0.3425625735367994,0.3108361284613136,-2.555287023502359,-2.555287023502359,-2.9873141904349954,0.0
2024-08-07,-1.5854464225379143,-1.5854464225379143,-1.5854464225379143,-1.7046879380440223,-1.4453746054710286,-1.2691160379166124,-0.9686602825950542,-0.9043860385859847,-1.326588428758897,-1.0894412778979004,-0.21650970881770734,-2.0634530508909537,0.1974020074243973,1.160766583496692,0.298546229513145,1.2732155472189692,1.2732155472189692,-2.437028606287734,0.0
2024-08-08,-1.6392529245720378,-1.6392529245720378,-1.6392529245720378,-1.5793322599664428,-1.698518289972614,-1.4397184348806302,-1.2144908257698295,-0.9999222456171555,-1.4128300587693055,-1.092741381876387,-0.3690271511220774,-1.9332379315231112,-0.1677777406777535,1.1707178915357725,0.30230186588779157,-0.6060735834539496,-0.6060735834539496,-2.335602340244241,0.0
2024-08-09,-1.2163119062478023,-1.2163119062478023,-1.2163119062478023,-1.6331319799039934,-1.5732836359209494,-1.6925713487380232,-1.2560959911897747,-0.9578570744206212,-1.4443250091511364,-1.0845801912498572,0.13507392245890446,-0.7676497070324755,0.0840584878090094,3.743249690162794,1.605792770706149,4.335086526805181,4.335086526805181,-0.9283048245697075,0.0
2024-08-10,-1.275534404956142,-1.275534404956142,-1.275534404956142,-1.2102442716207822,-1.6270314151821796,-1.5674805440622792,-1.4261470213899523,-1.2030316071768958,-1.4487785690817252,-1.0778155073990492,0.07365149251836729,-0.19192298720839385,-0.42644665512853586,3.376159105779083,1.627349285253791,-0.6037043443269459,-0.6037043443269459,-0.25172161748651267,0.0
2024-08-11,-1.2770912348405856,-1.2770912348405856,-1.2770912348405856,-1.2694593055676093,-1.2045519817673376,-1.6211665865417666,-1.678182744543568,-1.2445257472473203,-1.447437535284814,-1.070436994195568,0.1006494928614076,-0.06855276164761251,-1.1023293539440249,3.3588916535072255,1.6228433322440758,-0.07064257847583047,-0.07064257847583047,-0.09536314577582318,0.0
2024-08-12,-1.4074620385851988,-1.4074620385851988,-1.4074620385851988,-1.2710159392198093,-1.263709846849436,-1.1991724293733135,-1.5534962185496457,-1.4141229882395037,-1.440253352395823,-1.068528972523034,-0.1399586363947039,0.05585123548751924,-0.8272363942501392,3.248508062980061,1.7241965604540197,-1.2809091130332337,-1.2809091130332337,0.07284504715867929,0.0
