date,price,volume,daily_return,ma_7,ma_30,volatility_7,volatility_30,momentum_7,momentum_30,high,low,hl_pct,pct_change_1d,pct_change_7d,lag_1,lag_2,lag_3,lag_5,lag_7,target
2025-01-08,96952.09886774956,60610257147.15405,-5.162209644605942,97874.78390781287,98189.19491924133,2.866942058736372,2.5146552452953657,3444.2401203346526,-4283.2728347820375,96952.09886774956,96952.09886774956,0.0,-5.162209644605942,3.6833696830105955,102229.39453189743,98364.58946599838,98256.73876849933,96852.14681235075,93507.85874741491,95016.71440989176
2025-01-09,95016.71440989176,65790469838.34392,-1.9962274983833184,97965.14652131355,98111.28716596408,3.0122683220256103,2.442229213921431,632.5382945046586,-2337.232598317103,95016.71440989176,95016.71440989176,0.0,-1.9962274983833184,0.670174091185971,96952.09886774956,102229.39453189743,98364.58946599838,98084.34279280754,94384.1761153871,92376.27578346101
2025-01-10,92376.27578346101,65850881574.76184,-2.778920154026998,97325.7363743293,97968.83920982227,2.9615650171982177,2.490079363054739,-4475.871028889742,-4273.438684254303,92376.27578346101,92376.27578346101,0.0,-2.778920154026998,-4.621344158288676,95016.71440989176,96952.09886774956,102229.39453189743,98256.73876849933,96852.14681235075,94736.6267420969
2025-01-11,94736.6267420969,63433655716.757095,2.555148428118903,96847.49122422778,97755.93949754762,3.133995707509888,2.3800334208597085,-3347.7160507106455,-6386.99136824008,94736.6267420969,94736.6267420969,0.0,2.555148428118903,-3.4130993340928284,92376.27578346101,95016.71440989176,96952.09886774956,98364.58946599838,98084.34279280754,94559.55167224213
2025-01-12,94559.55167224213,17836423168.41627,-0.18691299864076472,96319.32163904817,97574.56427444395,3.124862493279331,2.3736790000046346,-3697.1870962571993,-5441.256693109841,94559.55167224213,94559.55167224213,0.0,-0.18691299864076472,-3.762782219922911,94736.6267420969,92376.27578346101,95016.71440989176,102229.39453189743,98256.73876849933,94454.77089638807
2025-01-13,94454.77089638807,19608932595.53299,-0.11080929848023002,95760.77612910383,97344.64898055945,3.1187441644759906,2.3565476917257144,-3909.818569610303,-6897.458816534869,94454.77089638807,94454.77089638807,0.0,-0.11080929848023002,-3.9748232477113232,94559.55167224213,94736.6267420969,92376.27578346101,96952.09886774956,98364.58946599838,94456.3493746993
2025-01-14,94456.3493746993,76328330233.31137,0.0016711472552000117,94650.34110664696,97114.29360486497,2.4667621070062995,2.3565068808114926,-7773.045157198125,-6910.661270834331,94456.3493746993,94456.3493746993,0.0,0.0016711472552000117,-7.603532421169524,94454.77089638807,94559.55167224213,94736.6267420969,95016.71440989176,102229.39453189743,96574.07768799194
2025-01-15,96574.07768799194,51241728228.81719,2.2420179557139264,94596.33808096731,96842.71281052839,1.970585350123862,2.309157200333961,-378.0211797576194,-8147.423830097832,96574.07768799194,96574.07768799194,0.0,2.2420179557139264,-0.38990510176913906,94456.3493746993,94454.77089638807,94559.55167224213,92376.27578346101,96952.09886774956,100313.15239828422
2025-01-16,100313.15239828422,57637319739.543396,3.8717167171633093,95352.97207930908,96650.68098262414,2.2302828428910924,2.413977272074323,5296.437988392456,-5760.954837127458,100313.15239828422,100313.15239828422,0.0,3.8717167171633093,5.574217148305305,96574.07768799194,94456.3493746993,94454.77089638807,94736.6267420969,95016.71440989176,100044.57926776377
2025-01-17,100044.57926776377,50150102497.2729,-0.2677347128461349,96448.44400563804,96451.00317812808,1.6970494424156053,2.4139470957292004,7668.303484302756,-5990.334134881239,100044.57926776377,100044.57926776377,0.0,-0.2677347128461349,8.301161114438083,100313.15239828422,96574.07768799194,94456.3493746993,94559.55167224213,92376.27578346101,104160.69358484233
2025-01-18,104160.69358484233,69135117732.00064,4.114280201091169,97794.7392688874,96577.84042601782,1.9883226447469544,2.329486093091325,9424.066842745437,3805.117436692235,104160.69358484233,104160.69358484233,0.0,4.114280201091169,9.947648725556512,100044.57926776377,100313.15239828422,96574.07768799194,94454.77089638807,94736.6267420969,104334.61575724394
2025-01-19,104334.61575724394,49416447749.13053,0.1669748601087706,99191.17699531621,96793.94915890068,1.9458698456976857,2.275302256165115,9775.06408500181,6483.261986485886,104334.61575724394,104334.61575724394,0.0,0.1669748601087706,10.337468729635768,104160.69358484233,100044.57926776377,100313.15239828422,94456.3493746993,94559.55167224213,101275.33714814208
2025-01-20,101275.33714814208,72970313683.92325,-2.9321798780760466,100165.54360270966,96913.41258660788,2.524624001135187,2.347209351615456,6820.566251754004,3583.9028312155424,101275.33714814208,101275.33714814208,0.0,-2.9321798780760466,7.220986496527315,104334.61575724394,104160.69358484233,100044.57926776377,96574.07768799194,94454.77089638807,101764.90860170545
2025-01-21,101764.90860170545,120158523166.88387,0.48340639226631676,101209.62349228196,97065.48204104885,2.498410626629466,2.344729129137984,7308.559227006146,4562.083633229122,101764.90860170545,101764.90860170545,0.0,0.48340639226631676,7.737499146842719,101275.33714814208,104334.61575724394,104160.69358484233,100313.15239828422,94456.3493746993,106182.2368201815
2025-01-22,106182.2368201815,95344290057.8965,4.340718504219265,102582.21765402332,97435.08080343418,2.7698997541176236,2.419892235772692,9608.159132189554,11087.962871559765,106182.2368201815,106182.2368201815,0.0,4.340718504219265,9.94900428998271,101764.90860170545,101275.33714814208,104334.61575724394,100044.57926776377,96574.07768799194,103673.53509537787
2025-01-23,103673.53509537787,55030669602.56557,-2.3626378572642937,103062.27232503671,97736.034944792,2.8427987931776038,2.4674381064509623,3360.3826970936498,9028.624240734658,103673.53509537787,103673.53509537787,0.0,-2.3626378572642937,3.349892428613499,106182.2368201815,101764.90860170545,101275.33714814208,104160.69358484233,100313.15239828422,104067.60991206947
2025-01-24,104067.60991206947,102455227371.20761,0.3801112948729424,103636.99098850894,97915.09814160012,2.8238892058522254,2.3524026864658087,4023.030644305705,5371.895904243458,104067.60991206947,104067.60991206947,0.0,0.3801112948729424,4.0212380058476604,103673.53509537787,106182.2368201815,101764.90860170545,104334.61575724394,100044.57926776377,104835.19253555956
2025-01-25,104835.19253555956,51418786362.7815,0.7375807171305704,103733.34798146854,98098.10608699635,2.3761662167311504,2.3529787814624727,674.4989507172286,5490.23836188727,104835.19253555956,104835.19253555956,0.0,0.7375807171305704,0.647556124583426,104067.60991206947,103673.53509537787,106182.2368201815,101275.33714814208,104160.69358484233,104796.04077738234
2025-01-26,104796.04077738234,22740744964.719296,-0.037346006842065016,103799.26584148833,98402.03036472063,2.3766945981777514,2.2359612628670953,461.4250201383984,9117.728331728285,104796.04077738234,104796.04077738234,0.0,-0.037346006842065016,0.4422549666661002,104835.19253555956,104067.60991206947,103673.53509537787,101764.90860170545,104334.61575724394,102552.24874280207
2025-01-27,102552.24874280207,20639818380.26942,-2.141103822182311,103981.68178358262,98676.04041379633,2.223042770808021,2.2594922763395453,1276.9115946599923,8220.301472271298,102552.24874280207,102552.24874280207,0.0,-2.141103822182311,1.2608317391154866,104796.04077738234,104835.19253555956,104067.60991206947,106182.2368201815,101275.33714814208,101958.46953745594
2025-01-28,101958.46953745594,93191643783.24739,-0.5790016431870826,104009.33334583268,98901.83541661533,2.2367020472486563,2.2621246314248307,193.56093575048726,6773.850084569916,101958.46953745594,101958.46953745594,0.0,-0.5790016431870826,0.19020400883771327,102552.24874280207,104796.04077738234,104835.19253555956,103673.53509537787,101764.90860170545,101313.11264498268
